,track,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,top100,top10
62,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,123,166028,4,1,0
63,Head & Heart ,Joel Corry,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135,194088,4,1,0
64,bad guy,Billie Eilish,0.611,0.688,1,-5.688,1,0.341,0.0264,0.0,0.251,0.393,178,132303,4,1,0
65,GOOBA,6ix9ine,0.848,0.768,6,-5.386,0,0.0373,0.0412,0.000785,0.195,0.777,119,176767,4,1,0
66,Secrets,Regard,0.885,0.685,11,-6.429,0,0.0627,0.33,0.0,0.148,0.937,100,144000,4,1,0
67,Stunnin' ,Curtis Waters,0.548,0.805,7,-5.732,1,0.351,0.212,0.000389,0.408,0.648,142,216387,4,1,0
68,Dior,Pop Smoke,0.824,0.631,0,-2.791,1,0.0809,0.237,0.000116,0.0531,0.678,172,197721,4,1,0
69,Elegí ,Rauw Alejandro,0.676,0.609,2,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142,237735,4,1,0
70,Life Is Good ,Future,0.58,0.586,1,-6.883,1,0.0357,0.344,0.0,0.0755,0.507,148,199549,4,1,0
71,Lose Somebody,Kygo,0.824,0.854,8,-5.312,1,0.177,0.016,4.95e-05,0.117,0.896,95,210329,4,1,0
72,Banana ,Conkarah,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,117,163636,5,1,0
73,ROXANNE,Arizona Zervas,0.607,0.829,2,-4.074,1,0.379,0.0103,0.0,0.107,0.685,96,295177,4,1,0
74,Safaera,Bad Bunny,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,118,157606,4,1,0
75,Ride It,Regard,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155,312820,4,1,0
76,SICKO MODE,Travis Scott,0.86,0.758,11,-5.16,1,0.0695,0.021,6.54e-05,0.344,0.453,97,172127,4,1,0
77,Yo Perreo Sola,Bad Bunny,0.611,0.851,9,-2.982,1,0.0598,0.229,0.0,0.232,0.823,178,211613,4,1,0
78,Favorito,Camilo,0.904,0.723,11,-5.224,0,0.26,0.0631,0.0,0.185,0.835,145,227478,4,1,0
79,WHATS POPPIN,Jack Harlow,0.793,0.737,6,-4.731,0,0.0785,0.0765,0.0,0.0747,0.697,168,333800,4,1,0
80,PORFA Remix ,Feid,0.735,0.449,10,-7.507,1,0.347,0.629,0.0,0.113,0.0397,123,220488,4,1,0
81,Chicago Freestyle ,Drake,0.868,0.55,6,-6.417,1,0.226,0.183,0.0,0.109,0.464,118,154767,4,1,0
82,Blood On My Jeans,Juice WRLD,0.843,0.836,11,-2.474,0,0.0695,0.0816,0.00138,0.0532,0.65,94,205933,4,1,0
83,Azul,J Balvin,0.926,0.542,1,-5.064,1,0.293,0.135,0.0,0.0877,0.564,135,181929,4,1,0
84,We Paid ,Lil Baby,0.75,0.664,8,-5.908,0,0.154,0.275,0.0,0.0632,0.617,105,208156,4,1,0
85,What's Love Got to Do with It,Kygo,0.8,0.578,11,-4.779,0,0.0831,0.336,0.000311,0.184,0.234,100,212406,4,1,0
86,Tak Tiki Tak,Harry Nach,0.688,0.647,2,-7.258,1,0.19,0.00815,1.65e-05,0.095,0.195,89,164580,4,1,0
87,Got It On Me,Pop Smoke,0.663,0.598,11,-4.042,1,0.17,0.193,8.02e-05,0.0856,0.4,172,150720,4,1,0
88,Rojo,J Balvin,0.682,0.7,6,-5.591,1,0.0397,0.406,0.0,0.174,0.637,120,186878,4,1,0
89,Some Say - Felix Jaehn Remix,Nea,0.544,0.744,6,-5.007,1,0.0889,0.185,0.0,0.336,0.572,74,183947,4,1,0
90,GO ,The Kid LAROI,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115,200186,4,1,0
91,lovely ,Billie Eilish,0.464,0.473,1,-10.086,1,0.129,0.866,0.0,0.109,0.604,76,208687,4,1,0
92,If the World Was Ending - feat. Julia Michaels,JP Saxe,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120,245426,4,1,0
93,everything i wanted,Billie Eilish,0.613,0.624,11,-6.66,0,0.206,0.496,0.0,0.283,0.804,63,167917,5,1,0
94,Rover ,S1mba,0.629,0.692,5,-8.045,1,0.0376,0.00981,0.331,0.603,0.453,163,167916,4,1,0
95,After Party,Don Toliver,0.685,0.692,2,-5.122,1,0.0457,0.328,0.0,0.153,0.578,160,240051,5,1,0
96,Robbery,Juice WRLD,0.808,0.745,10,-5.26,0,0.342,0.145,0.0,0.292,0.829,166,210800,4,1,0
97,Godzilla ,Eminem,0.745,0.5,8,-6.184,1,0.136,0.439,0.0,0.0943,0.433,77,168685,4,1,0
98,Stay High,Juice WRLD,0.572,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,96,215733,4,1,0
99,Shallow,Lady Gaga,0.572,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,96,215733,4,1,0
