,track,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,top100,top10
101,E.T. ,Katy Perry,0.62,0.869,1,-5.252,1,0.175,0.0181,0.0,0.369,0.76,152,229573,4,0,0
102,DJ Got Us Fallin' In Love,Usher,0.663,0.861,7,-3.398,0,0.109,0.0338,0.0,0.082,0.654,120,220800,4,0,0
103,Dark Horse,Katy Perry,0.645,0.585,6,-6.122,1,0.0513,0.00314,0.0,0.165,0.353,132,215672,4,0,0
104,This Is Love,will.i.am,0.535,0.796,0,-3.446,0,0.0445,0.00473,0.0,0.145,0.282,129,279027,4,0,0
105,Superlove ,Avicii,0.729,0.955,9,-6.87,0,0.113,0.136,0.918,0.0841,0.896,128,322515,4,0,0
106,Fade Into Darkness,Avicii,0.556,0.885,6,-4.045,1,0.0321,0.00786,1.95e-06,0.138,0.771,126,198133,4,0,0
107,Save The World,Swedish House Mafia,0.507,0.665,0,-7.598,1,0.0474,0.0144,0.0,0.0759,0.4,127,213338,4,0,0
108,Gettin' Over You ,David Guetta,0.62,0.87,10,-6.52,0,0.0868,0.149,0.0,0.0705,0.513,130,187427,4,0,0
109,Without You ,David Guetta,0.608,0.614,2,-3.727,1,0.0285,0.227,3.82e-06,0.157,0.402,128,208133,4,0,0
110,Let's Go ,Calvin Harris,0.71,0.882,4,-2.932,0,0.0595,0.00777,0.00771,0.294,0.875,128,232800,4,0,0
111,Clarity,Zedd,0.509,0.781,8,-3.48,1,0.072,0.0398,0.0,0.0749,0.176,128,271427,4,0,0
112,Wild Ones ,Flo Rida,0.608,0.86,5,-5.324,0,0.0554,0.0991,0.0,0.262,0.437,127,232947,4,0,0
113,I Could Be The One ,Avicii,0.509,0.79,6,-3.782,0,0.0374,0.332,6.67e-05,0.316,0.638,128,208320,4,0,0
114,Welcome To St. Tropez ,DJ Antoine,0.775,0.76,0,-4.847,0,0.126,0.00573,0.0,0.341,0.766,125,195192,4,0,0
115,Don't,Ed Sheeran,0.813,0.627,11,-5.018,0,0.0486,0.076,0.000616,0.131,0.801,130,195853,4,0,0
116,Sexy Bitch ,David Guetta,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,128,239600,4,0,0
117,Pumped Up Kicks,Foster The People,0.509,0.482,7,-6.965,1,0.176,0.0186,0.0,0.238,0.301,101,211512,4,0,0
118,L.A.LOVE ,Fergie,0.491,0.589,11,-9.058,0,0.0356,0.00164,0.398,0.198,0.134,117,271307,4,0,0
119,Silhouettes ,Of Monsters and Men,0.421,0.791,9,-4.998,1,0.0496,0.0117,1.48e-05,0.146,0.499,130,257200,4,0,0
120,Elastic Heart ,Sia,0.712,0.922,6,-3.902,0,0.0411,0.00266,1.9e-06,0.268,0.976,126,231625,4,0,0
121,Mmm Yeah,Austin Mahone,0.632,0.784,2,-7.457,1,0.0393,0.000157,3.6e-05,0.037,0.278,100,203344,4,0,0
122,What About Love,Austin Mahone,0.729,0.65,5,-3.539,1,0.0313,0.0702,6.69e-05,0.0829,0.347,110,209160,4,0,0
123,Stay High ,Tove Lo,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,115,269667,4,0,0
124,Uptown Funk ,Mark Ronson,0.573,0.495,8,-7.245,0,0.592,0.405,0.0,0.0969,0.255,179,312027,3,0,0
125,Don't Wake Me Up,Chris Brown,0.614,0.812,7,-5.849,0,0.0416,0.263,1.14e-05,0.102,0.726,120,331324,4,0,0
126,Only,Nicki Minaj,0.742,0.713,1,-5.522,0,0.0303,0.0205,0.0,0.059,0.879,120,189960,4,0,0
127,Froot,MARINA,0.64,0.776,9,-6.511,1,0.0271,0.0202,5.75e-06,0.13,0.37,117,226131,4,0,0
128,Maps,Maroon 5,0.729,0.756,8,-5.119,1,0.0294,0.131,0.0,0.0527,0.522,105,228293,4,0,0
129,Back to Home,Tristan Prettyman,0.572,0.499,2,-5.237,1,0.0311,0.0283,0.0,0.213,0.108,102,237248,4,0,0
130,Rolling In The Deep,Adele,0.503,0.748,5,-4.124,1,0.0619,0.0305,0.0,0.343,0.356,126,210013,4,0,0
131,Amnesia,5 Seconds of Summer,0.635,0.691,0,-4.862,1,0.258,0.555,0.0,0.097,0.638,82,217419,4,0,0
132,Ain't It Fun,Paramore,0.527,0.835,6,-5.298,1,0.0433,0.0166,0.0,0.249,0.654,126,176658,4,0,0
133,You're The One That I Want,Lo-Fang,0.491,0.885,3,-4.121,1,0.0395,0.00219,0.0,0.0741,0.641,167,245467,4,0,0
134,Heroes ,Alesso,0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.329,0.428,90,175200,4,0,0
135,Trumpets,Jason Derulo,0.864,0.495,0,-7.036,1,0.037,0.591,0.000133,0.0992,0.72,129,244973,4,0,0
136,The Days,Avicii,0.537,0.759,3,-5.622,1,0.0444,0.0267,0.0,0.0947,0.377,128,203307,4,0,0
137,Superheroes,The Script,0.754,0.804,4,-3.177,1,0.0853,0.00332,0.0,0.0329,0.818,120,203867,4,0,0
138,Demons,Imagine Dragons,0.711,0.906,8,-2.671,1,0.0284,0.00952,1.64e-05,0.153,0.824,126,157153,4,0,0
139,Somebody That I Used To Know,Gotye,0.775,0.825,7,-5.402,1,0.0464,0.0506,1.03e-06,0.111,0.95,139,182667,4,0,0
140,Find You,Zedd,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125,216933,4,0,0
141,Dynamite,Taio Cruz,0.743,0.876,9,-4.228,0,0.0333,0.000746,0.00177,0.215,0.423,125,218480,4,0,0
142,I Love It ,Icona Pop,0.509,0.482,7,-6.965,1,0.176,0.0186,0.0,0.238,0.301,101,211512,4,0,0
143,Lips Are Movin,Meghan Trainor,0.466,0.747,4,-4.838,0,0.0795,0.417,9.76e-06,0.107,0.43,92,203641,4,0,0
144,Sweet Dreams ,Eurythmics,0.749,0.925,10,-5.034,1,0.227,0.241,0.0,0.52,0.641,87,263373,4,0,0
145,Rise Up ,Yves Larock feat. Jaba,0.572,0.81,1,-5.791,0,0.0558,0.0157,6.53e-06,0.13,0.11,126,214912,4,0,0
146,L.A.LOVE ,Fergie,0.67,0.476,9,-6.253,0,0.0406,0.328,0.0,0.104,0.235,97,231907,4,0,0
147,Dangerous ,David Guetta,0.688,0.723,6,-6.682,0,0.121,0.0416,0.0002,0.302,0.618,140,209187,4,0,0
148,Love The Way You Lie,Eminem,0.679,0.715,9,-6.383,1,0.0407,0.0755,0.0,0.271,0.571,127,214148,4,0,0
149,Summertime Sadness,Lana Del Rey,0.687,0.702,7,-5.324,0,0.0455,0.0064,4.35e-05,0.204,0.284,130,214840,4,0,0
150,Na Na,Trey Songz,0.76,0.652,6,-7.321,1,0.232,0.0348,0.0,0.307,0.759,100,177685,4,0,0
151,Replay,Zendaya,0.448,0.784,9,-3.686,1,0.0627,0.106,0.000108,0.668,0.236,136,186813,4,0,0
152,Pompeii,Bastille,0.615,0.711,11,-5.507,1,0.0779,0.0444,0.0,0.145,0.711,144,221253,4,0,0
153,Break Free,Ariana Grande,0.553,0.657,1,-8.219,1,0.0405,0.335,0.000648,0.228,0.555,108,192707,4,0,0
154,Talk Dirty ,Jason Derulo,0.606,0.949,7,-2.749,0,0.0414,0.015,2.76e-05,0.109,0.436,120,232227,4,0,0
155,Radioactive,Imagine Dragons,0.964,0.605,9,-6.223,1,0.179,0.0668,7.78e-06,0.214,0.646,130,260240,4,0,0
156,Whatcha Say,Jason Derulo,0.747,0.716,11,-2.457,0,0.075,0.135,0.0,0.251,0.751,125,210627,4,0,0
157,I Bet My Life,Imagine Dragons,0.728,0.858,9,-3.686,1,0.0609,0.0403,4.26e-06,0.0241,0.591,125,205640,4,0,0
