,track,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,top100,top10,1,2,3,4,5,6,7,8,9,10,11
81,Blood On My Jeans,Juice WRLD,0.843,0.836,-2.474,0,0.0695,0.0816,0.0013800000000000002,0.0532,0.65,94,205933,1,0,0,0,0,0,0,0,0,0,0,0,1
82,Azul,J Balvin,0.9259999999999999,0.542,-5.064,1,0.293,0.135,0.0,0.0877,0.564,135,181929,1,0,1,0,0,0,0,0,0,0,0,0,0
83,We Paid ,Lil Baby,0.75,0.664,-5.9079999999999995,0,0.154,0.275,0.0,0.0632,0.617,105,208156,1,0,0,0,0,0,0,0,0,1,0,0,0
84,What's Love Got to Do with It,Kygo,0.8,0.578,-4.779,0,0.0831,0.336,0.00031099999999999997,0.184,0.23399999999999999,100,212406,1,0,0,0,0,0,0,0,0,0,0,0,1
85,Tak Tiki Tak,Harry Nach,0.688,0.647,-7.257999999999999,1,0.19,0.00815,1.65e-05,0.095,0.195,89,164580,1,0,0,1,0,0,0,0,0,0,0,0,0
86,Got It On Me,Pop Smoke,0.6629999999999999,0.598,-4.042,1,0.17,0.193,8.02e-05,0.0856,0.4,172,150720,1,0,0,0,0,0,0,0,0,0,0,0,1
87,Rojo,J Balvin,0.682,0.7,-5.591,1,0.0397,0.406,0.0,0.174,0.637,120,186878,1,0,0,0,0,0,0,1,0,0,0,0,0
88,Some Say - Felix Jaehn Remix,Nea,0.544,0.7440000000000001,-5.007,1,0.0889,0.185,0.0,0.336,0.5720000000000001,74,183947,1,0,0,0,0,0,0,1,0,0,0,0,0
89,GO ,The Kid LAROI,0.35100000000000003,0.29600000000000004,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115,200186,1,0,0,0,0,1,0,0,0,0,0,0,0
90,lovely ,Billie Eilish,0.46399999999999997,0.473,-10.086,1,0.129,0.866,0.0,0.109,0.604,76,208687,1,0,1,0,0,0,0,0,0,0,0,0,0
91,If the World Was Ending - feat. Julia Michaels,JP Saxe,0.7040000000000001,0.225,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120,245426,1,0,0,0,0,0,0,1,0,0,0,0,0
92,everything i wanted,Billie Eilish,0.613,0.624,-6.66,0,0.20600000000000002,0.496,0.0,0.28300000000000003,0.804,63,167917,1,0,0,0,0,0,0,0,0,0,0,0,1
93,Rover ,S1mba,0.629,0.6920000000000001,-8.045,1,0.0376,0.00981,0.331,0.603,0.45299999999999996,163,167916,1,0,0,0,0,0,1,0,0,0,0,0,0
94,After Party,Don Toliver,0.685,0.6920000000000001,-5.122000000000001,1,0.0457,0.32799999999999996,0.0,0.153,0.578,160,240051,1,0,0,1,0,0,0,0,0,0,0,0,0
95,Robbery,Juice WRLD,0.8079999999999999,0.745,-5.26,0,0.342,0.145,0.0,0.292,0.8290000000000001,166,210800,1,0,0,0,0,0,0,0,0,0,0,1,0
96,Godzilla ,Eminem,0.745,0.5,-6.184,1,0.136,0.439,0.0,0.0943,0.433,77,168685,1,0,0,0,0,0,0,0,0,1,0,0,0
